 
./adv/FGSM_eps=8/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
36.6,24.6,46.6,45.8,49.7,14.4,19.7,12.5,15.8,11.4

 ./adv/ILPD_eps=8_coef=1.0(MIFGSM_eps=8_step=8)/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
36.7,22.5,50.7,34.8,41.8,7.6,15.3,8.3,10.5,8.0



 ./adv/MIFGSM_eps=8/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
36.7,22.5,50.7,34.8,41.8,7.6,15.3,8.3,10.5,8.0
./adv/ILPD_eps=8_coef=0.0005_backward_gradinput/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
64.0,49.6,70.8,53.9,66.4,20.7,37.3,17.2,21.2,19.8
./adv/ILPD_eps=8_coef=0.0005_gradinput_layer1.1/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
61.0,45.0,66.7,53.9,62.9,20.1,31.7,16.5,20.3,15.1
./adv/ILPD_eps=8_coef=0.0005_gradinput_layer1.2/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
61.0,45.1,69.8,55.5,63.6,20.5,33.0,17.0,20.4,17.1
./adv/ILPD_eps=8_coef=0.0005_gradinput_layer2.1/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
61.8,47.0,70.2,52.7,63.9,19.5,33.8,16.3,20.3,18.7
./adv/ILPD_eps=8_coef=0.0005_gradinput_2_layer2.2/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
61.9,48.4,71.2,53.8,65.5,20.4,36.3,17.3,20.9,18.9
./adv/ILPD_eps=8_coef=0.0005_gradinput_layer2.3/
resnet50,resnet152,densenet121,inception_v3,vgg19,mixer_b16_224_miil,convnext_tiny,vit_base_patch16_224,deit_base_patch16_224,swin_base_patch4_window7_224
64.0,49.6,70.8,53.9,66.4,20.7,37.3,17.2,21.2,19.8
./adv/ILPD_eps=8_coef=0.0005_gradinput_layer3.0/
